TransactionID,AccountID,Date,TransactionType,Amount,Channel
TX000001,ACC00109,2025-05-17 10:19:54.554326,Credit,481.84,Branch
TX000002,ACC00005,2025-05-23 10:19:54.554344,Debit,3794.34,ATM
TX000003,ACC00119,2024-10-17 10:19:54.554348,Credit,3034.01,POS
TX000004,ACC00033,2024-12-31 10:19:54.554351,Credit,2855.86,Branch
TX000005,ACC00118,2025-06-28 10:19:54.554353,Debit,277.35,POS
TX000006,ACC00065,2024-12-07 10:19:54.554355,Debit,711.09,Branch
TX000007,ACC00146,2024-07-28 10:19:54.554357,Credit,3116.52,POS
TX000008,ACC00011,2024-11-27 10:19:54.554361,Credit,1047.04,Online
TX000009,ACC00085,2025-02-01 10:19:54.554364,Credit,2525.31,POS
TX000010,ACC00026,2025-02-15 10:19:54.554366,Debit,2728.96,POS
TX000011,ACC00063,2025-06-26 10:19:54.554368,Credit,1424.7,Branch
TX000012,ACC00086,2025-06-17 10:19:54.554370,Credit,4742.64,Branch
TX000013,ACC00059,2024-12-07 10:19:54.554371,Credit,4213.9,Online
TX000014,ACC00027,2024-07-20 10:19:54.554373,Debit,3614.64,Branch
TX000015,ACC00098,2025-06-10 10:19:54.554375,Credit,399.19,POS
TX000016,ACC00105,2024-09-06 10:19:54.554377,Debit,539.59,Branch
TX000017,ACC00099,2024-09-19 10:19:54.554378,Debit,2468.98,Branch
TX000018,ACC00129,2024-10-13 10:19:54.554380,Credit,811.96,Branch
TX000019,ACC00149,2024-09-07 10:19:54.554382,Debit,4891.54,Online
TX000020,ACC00055,2025-02-16 10:19:54.554384,Credit,801.02,Online
TX000021,ACC00006,2025-03-02 10:19:54.554386,Debit,2442.46,ATM
TX000022,ACC00095,2025-05-23 10:19:54.554387,Debit,1826.96,Online
TX000023,ACC00133,2025-01-25 10:19:54.554389,Credit,3200.54,Online
TX000024,ACC00102,2025-04-11 10:19:54.554391,Credit,653.89,Online
TX000025,ACC00003,2024-07-27 10:19:54.554392,Credit,2157.28,POS
TX000026,ACC00023,2025-01-18 10:19:54.554394,Debit,1380.78,ATM
TX000027,ACC00053,2024-08-24 10:19:54.554396,Debit,4439.88,POS
TX000028,ACC00083,2025-07-10 10:19:54.554398,Credit,212.52,Online
TX000029,ACC00145,2024-12-06 10:19:54.554399,Credit,4569.5,Online
TX000030,ACC00085,2024-08-03 10:19:54.554401,Debit,4166.64,ATM
TX000031,ACC00078,2025-01-03 10:19:54.554403,Debit,1494.88,ATM
TX000032,ACC00110,2025-06-12 10:19:54.554406,Debit,3948.56,Branch
TX000033,ACC00001,2024-09-18 10:19:54.554408,Credit,165.76,Online
